Concept,RADx Global Prompt,RADx Global Variable,RADx Global Response Options,RADx-UP Prompt,RADx-UP Variable,RADx-UP Reponse Options,Comment
Disability Status,"Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?",nih_disability,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook,  bathing or dressing.",self_reported_disability,"1, Yes | 0, No | 98, Prefer not to answer",
Disability Status,Are you deaf or do you have serious difficulty hearing?,nih_deaf,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Are you deaf, or do you have serious difficulty hearing?",disability_deaf,"1, Yes | 0, No ",
Disability Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",nih_blind,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Are you blind, or do you have serious difficulty seeing, even when wearing glasses?",disability_blind,"1, Yes | 0, No ",
Disability Status,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",nih_memory,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? 

(5 years of age or older)",disability_decisions,"1, Yes | 0, No ",
Disability Status,Do you have serious difficulty walking or climbing stairs?,nih_walk_climb,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Do you have serious difficulty walking or climbing stairs? 

(5 years of age or older)",disability_walking,"1, Yes | 0, No ",
Disability Status,Do you have difficulty dressing or bathing?,nih_dress_bathe,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Do you have difficulty dressing or bathing?

(5 years of age or older)",disability_dress,"1, Yes | 0, No ",
Disability Status,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?",nih_errand,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? 

(15 years of age or older)",disability_errands,"1, Yes | 0, No ",
Medical History,Vaping use (Yes or No),nih_vaping_yn,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Nicotine use (Yes or No),nih_nicotine_yn,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",nih_vape_freq,"0,Not at all; 1,Rarely; 2,Some Days; 3,Every Day; 98,Don't know; 99,Prefer not to answer","Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",vaper_cur_stat,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",
Medical History,Nicotine Frequency: Do you now smoke cigarettes?,nih_cig_smoke_freq,"0,Not at all; 1,Rarely; 2,Some Days; 3,Every Day; 98,Don't know; 99,Prefer not to answer",Do you now smoke cigarettes?,smoker_cur_stat,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",
Medical History,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",nih_smoking_yn,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,History of Smoking,nih_history_smoking,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Tobacco Use,nih_tobacco,"0, No tobacco use; 1, Current Tobacco user; 2, Former Tobacco User;  98, Don't Know; 99, Prefer not to answer",,,,
Medical History,Alcohol use (Yes or No),nih_alcohol_yn,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (Yes or No)",nih_lifetime_use_alcohol,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips?",lifetime_use_alcohol,"1, Yes |0, No | 99, Prefer not to answer",
Medical History,How often did you have a drink containing alcohol in the past year?,nih_alcohol_yrs,"0,Never;1,Monthly Or Less;2,Two To Four Times Per Month;3,Two To Three Times Per Week;4,Four Or More Times Per Week; 98, Don't know; 99, Prefer not to answer",,,,
Medical History,How often did you have a drink containing alcohol ?,nih_alcohol_frequency,"0,Never;1,Monthly Or Less;2,Two To Four Times Per Month;3,Two To Three Times Per Week;4,Four Or More Times Per Week; 98, Don't know; 99, Prefer not to answer",,,,
Medical History,Asthma,nih_asthma,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Asthma ,cc_asthma,"1, Yes | 0, No",
Medical History,Cancer,nih_cancer,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Cancer (including leukemia or lymphoma) undergoing active treatment?,nih_cancer_active_treatment,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Cancer diagnosis and/or treatment within the past 12 months,nih_cancer_past_yr,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Cancer diagnosis and/or treatment within the past 12 months,cc_cancer,"1, Yes | 0, No",
Medical History,Cardiovascular disease,nih_cardiovascular_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Cardiovascular disease (CVD or heart disease),cc_cvd,"1, Yes | 0, No",
Medical History,Chronic kidney disease,nih_chronic_kidney_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Chronic kidney disease (CKD),cc_chronickd,"1, Yes | 0, No",
Medical History,Chronic kidney disease treatment,nih_chronic_kidney_disease_treatment,"0,No|1,Yes, But Not On Dialysis|2,Yes And On Dialysis|3,Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal|77,Don't Know",,,,
Medical History,Chronic lung disease,nih_chronic_lung_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Diabetes,nih_diabetes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Diabetes,cc_diabetes,"1, Yes | 0, No",
Medical History,Hypertension,nih_hypertension,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Hypertension (HTN, high blood pressure)",cc_hypertension,"1, Yes | 0, No",
Medical History,Immunosuppressive condition,nih_immunosuppressive_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Serious mental illness,nih_serious_mental_illness,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Mental health disorder ,nih_mental_health_disorder,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Sickle cell disease,nih_sickle_cell_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Sickle Cell Anemia,cc_sickle,"1, Yes | 0, No",
Medical History,Pregnancy status,nih_pregnancy,"0, Not Pregnant;1, Pregnant;98, Don't know; 99, Prefer not to answer",Are you currently pregnant?,pregnancy_status,"1, Pregnant | 0, Not Pregnant | 98, Don't know| 99,Prefer not to answer",
Medical History,Immunocompromised condition,nih_immunocompromised,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Immunocompromised condition,cc_imm,"1, Yes | 0, No",
Medical History,Autoimmune disease,nih_autoimm,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Autoimmune disease,cc_autoimm,"1, Yes | 0, No",
Medical History,Chronic obstructive pulmonary disease (COPD),nih_copd,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Chronic obstructive pulmonary disease (COPD),cc_copd,"1, Yes | 0, No",
Medical History,Other chronic lung disease,nih_chronic_lung,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Other chronic lung disease,cc_clung,"1, Yes | 0, No",
Medical History,Depression,nih_depression,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Depression,cc_depression,"1, Yes | 0, No",
Medical History,Alcohol or substance use disorder,nih_alc_sub_abuse,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Alcohol or substance use disorder,cc_asud,"1, Yes | 0, No",
Medical History,Intravenous drug use,nih_iv_drug_use,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Intravenous drug use,cc_intrav,"1, Yes | 0, No",
Medical History,Other mental health disorder,nih_othermh,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Other mental health disorder,cc_othermh,"1, Yes | 0, No",
Medical History,Other chronic condition,nih_other_chronic_cond,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Other chronic condition,cc_otherchroniccond,"1, Yes | 0, No",
Medical History,Coronary artery disease,nih_coronary_artery_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,nih_coronary_artery_disease_angina,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,A heart attack (myocardial infarction)?,nih_heart_attack,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,"Congestive Heart failure (CHF, Heart Failure)?",nih_chf,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,nih_stroke,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Immunodeficiency (NOT including HIV)?,nih_immunodeficiency,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Chronic HIV infection?,nih_hiv,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Anemia or other blood disorder (do not include leukemia or lymphoma)?,nih_anemia,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,History of premature birth (being born before 37 weeks of pregnancy),nih_premature_birth,"0,No|1,Yes, Between 32 - 37 Weeks|2,Yes, Between 28-32 Weeks|3,Yes, Less Than 28 Weeks|4,Yes, But Not Sure How Many Weeks|77,Dont Know",,,,
Medical History,Chronic Heart Disease,nih_chd,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Cystic Fibrosis,nih_cf,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,CLD BPD (Chronic Lung Disease Bronchopulmonary Dysplasia),nih_cld_bpd,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,"Chronic obstructive pulmonary disease (COPD) including emphysema, chronic bronchitis, obstructive pulmonary disease?",nih_copd_plus,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Alzheimers,nih_alz,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Anxiety,nih_anxiety,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Arrhythmia,nih_arrhythmia,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Arthritis,nih_arthritis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Atrial Fibrillation,nih_af,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Chronic Pain,nih_chronic_pain,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Fibromyalgia,nih_fibromyalgia,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Gastroesophageal reflux disease,nih_gerd,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Gestational Diabetes,nih_gestational_diabetes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,High Cholesterol,nih_cholesterol,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Hypo/Hyper Thyroidism,nih_thyroid,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,immunocompromised from solid organ transplant,nih_immuno_compromised_solid_organ,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Inflammatory Bowel Disease,nih_ibd,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Insomnia,nih_insomnia,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Irritable bowel syndrome,nih_ibs,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,"Liver disease (cirrhosis, hepB, hepC)",nih_liver_disease,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Lupus,nih_lupus,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Migraines,nih_migraines,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Multiple Sclerosis,nih_ms,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Neurodegenerative disease,nih_neurodegenerative,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Neurological Condition,nih_neurological_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,No chronic condition,nih_no_chronic_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Obesity (BMI >= 30),nih_obesity,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Osteoporosis,nih_osteoporosis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Polycystic ovary syndrome,nih_pcos,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Psoriasis,nih_psoriasis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Renal disease,nih_renal,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Restless leg,nih_rls,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Rheumatoid Arthritis,nih_ra,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Seasonal Allergies,nih_seasonal_allergies,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,"Serious heart condition (heart failure, CAD, cardiomyopathies)",nih_heart_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Sleep Apnea,nih_sleep_apnea,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Substance use,nih_substance_use,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Thalassemia,nih_thalassemia,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Type 1 Diabetes,nih_t1d,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Medical History,Type 2 Diabetes,nih_t2dm,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Cough,nih_cough,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Cough,covid_cough,"1, Yes | 0, No | 98, Don't know",
Symptoms,Fever or Chills,nih_fever_chills,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Fever or chills,covid_fever,"1, Yes | 0, No | 98, Don't know",
Symptoms,Shortness of breath or difficulty breathing,nih_diff_breath,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Shortness of breath or difficulty breathing,covid_diffbreath,"1, Yes | 0, No | 98, Don't know",
Symptoms,Headache,nih_headache,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Headache,covid_headache,"1, Yes | 0, No | 98, Don't know",
Symptoms,Muscle ache,nih_muscle_ache,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Muscle or body aches,covid_myalgia,"1, Yes | 0, No | 98, Don't know",
Symptoms,New loss of taste or smell,nih_olfactory,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",New loss of taste or smell,covid_olfactory,"1, Yes | 0, No | 98, Don't know",
Symptoms,Excessive fatigue,nih_fatigue,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Lack of energy or general tired feeling,covid_fatique,"1, Yes | 0, No | 98, Don't know",
Symptoms,"Nausea, vomiting, or diarrhea",nih_nausea_vomiting_diarrhea,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Feeling sick to your stomach or vomiting, diarrhea",covid_nausea,"1, Yes | 0, No | 98, Don't know",
Symptoms,Abdominal pain,nih_abdom_pain,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Abdominal Pain,covid_abpain,"1, Yes | 0, No | 98, Don't know",
Symptoms,Skin rash,nih_skin_rash,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Skin Rash,covid_skinrash,"1, Yes | 0, No | 98, Don't know",
Symptoms,Conjunctivitis,nih_conjunctivitis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,"Sore throat, congestion or runny nose ",nih_throat_congestion_nose,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer","Sore throat, congestion or runny nose ",covid_runnynose,"1, Yes | 0, No | 98, Don't know",
Symptoms,Red or painful eyes,nih_red_eyes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,A temperature greater than 100.4 °F,nih_high_temp,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Other,nih_other_symp,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",Other,covid_other,"1, Yes | 0, No | 98, Don't know",
Symptoms,None of the above,nih_no_sympt,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Wheezing,nih_wheezing,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Bluish lips or face,nih_blue_lips,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Loss of balance,nih_balance,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Slurred speech,nih_slurred_peech,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,New confusion,nih_confusion,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Unusual shivering or shaking ,nih_neuro_shakes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Tingling or numbness or swelling of hands and feet,nih_numb_extremities,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Excessive sweating,nih_sweating,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Seizures,nih_seizures,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Red or purple rash or lesions on toes,nih_rash_toes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Symptoms,Change in or loss of appetite,nih_appetite,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer",,,,
Health Status,"Would you say that (your) health in general is excellent, very good, good, fair, or poor?",nih_health_status,"0, Excellent;1,Very Good;2,Good;3,Fair;4,Poor;98,Don't know;99,Prefer not to state","Would you say your health in general is excellent, very good, good, fair, or poor?",self_reported_health_status_assessment,"1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor | 99, Prefer not to answer| 98, Don't know",
Health Status,What is your height in inches?,nih_height,integer,Feet;Inches;Meters;Centimeters,self_reported_height_feet;self_reported_height_inches;self_reported_height_meters;self_reported_height_centimeters,integer,
Health Status,What is your weight in pounds?,nih_weight,integer,"How much do you weigh without clothes or shoes? 

If you are currently pregnant, how much did you weigh before your pregnancy?;How much do you weigh without clothes or shoes? 

If you are currently pregnant, how much did you weigh before your pregnancy?",self_reported_weight_kgs;self_reported_weight_lbs,,
Health Status,Approximately what is your height?,nih_height_category,"1, 5'1"" - 5'6"";
2, 5'7""-5'11"";
3, 6' and over",,,,
Health Status,Approximately what is your weight?,nih_weight_category,"1, 100-150;
2, 151-200;
3, over 200
",,,,
